ProductID,Product,Category,SubCategory,Price,Weight,InStock
P001,Ноутбук,Техника,Ноутбуки,75000,2.1,Да
P002,Смартфон,Техника,Смартфоны,45000,0.3,Да
P003,Книга,Книги,Художественные,500,0.5,Да
P004,Наушники,Техника,Аудио,8000,0.2,Нет
P005,Кружка,Товары для дома,Посуда,350,0.4,Да
P006,Планшет,Техника,Планшеты,32000,0.6,Да
P007,Футболка,Одежда,Мужская,1500,0.3,Да
P008,Стул,Мебель,Офисная,12000,5.0,Да
P009,Монитор,Техника,Мониторы,30000,3.5,Нет
P010,Клавиатура,Техника,Аксессуары,2500,0.8,Да
P011,Мышь,Техника,Аксессуары,1200,0.1,Да
P012,Рюкзак,Аксессуары,Сумки,3500,0.7,Да
P013,Часы,Аксессуары,Гаджеты,8900,0.2,Да
P014,Принтер,Техника,Офис,15000,4.2,Нет
P015,Кофеварка,Техника,Для кухни,6700,1.8,Да
P016,Блендер,Техника,Для кухни,4500,1.5,Да
P017,Плед,Товары для дома,Текстиль,2200,0.9,Да
P018,Зонт,Аксессуары,Для улицы,1300,0.4,Да
P019,Фен,Техника,Красота,2800,0.6,Да
P020,Утюг,Техника,Для дома,3200,1.2,Нет
P021,Пылесос,Техника,Для дома,8900,3.8,Да
P022,Миксер,Техника,Для кухни,3800,1.4,Да
P023,Тостер,Техника,Для кухни,2900,1.1,Да
P024,Геймпад,Техника,Аксессуары,3400,0.3,Да
P025,Колонка,Техника,Аудио,5600,0.9,Да
